Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot13,"Extrenz Arnautov",normal,2,Failed,"TerraGroup Office Upstairs","TerraGroup Office Upstairs: Objective #5","1","23:03:21","23:04:15",
Bot12,"pplatinumssEU",normal,6,Failed,"Saving the Mole","Zone Sandbox_5_Office_exploration","1","23:03:21","23:03:57",
Bot16,"nidhoeggr",normal,9,Failed,"Shooting Cans","Zone Sandbox_2_AGS_exploration","1","23:03:21","23:03:57",
Bot15,"PudgeNubbins",normal,3,Failed,"Saving the Mole","Item TerraGroup scientist's hard drive","1","23:03:22","23:04:38",
Bot17,"Styrr",normal,8,Failed,"Spawn Rush","Spawn Rush: Objective #1","1","23:03:22","23:09:41",
Bot18,"STUOKD",normal,23,Failed,"TerraGroup Office Upstairs","TerraGroup Office Upstairs: Objective #9","1","23:03:22","23:05:20",
Bot14,"ChazLTK",normal,2,Completed,"Saving the Mole","Item TerraGroup scientist's hard drive","1","23:03:23","23:06:49",
Bot14,"ChazLTK",normal,2,Failed,"Saving the Mole","Zone Sandbox_5_Laborant_exploration","1","23:06:54","23:07:12",
Bot14,"ChazLTK",normal,2,Completed,"Saving the Mole","Zone Sandbox_5_Office_exploration","1","23:07:17","23:07:44",
Bot14,"ChazLTK",normal,2,Completed,"Saving the Mole","Zone Sandbox_5_DeadGroup_exploration","1","23:07:49","23:08:20",
Bot14,"ChazLTK",normal,2,Failed,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","23:08:25","23:09:21",
Bot14,"ChazLTK",normal,2,Completed,"Emercom Checkpoint","Emercom Checkpoint: Objective #1","1","23:09:27","23:09:38",
Bot14,"ChazLTK",normal,2,Completed,"Emercom Checkpoint","Emercom Checkpoint: Objective #2","2","23:09:43","23:10:08",
Bot14,"ChazLTK",normal,2,Failed,"Luxurious Life","Item Bottle of Le Jean wine","1","23:10:13","23:10:59",
Bot25,"dav1dct",normal,11,Failed,"Shooting Cans","Zone Sandbox_2_AGS_exploration","1","23:09:31","23:15:49",
Bot23,"OkaMoez",normal,26,Completed,"Kyshperski","Kyshperski: Objective #4","2","23:09:31","23:09:54",
Bot23,"OkaMoez",normal,26,Failed,"Kyshperski","Kyshperski: Objective #2","1","23:09:59","23:11:42",
Bot23,"OkaMoez",normal,26,Completed,"Kyshperski","Kyshperski: Objective #1","1","23:10:35","23:10:40",
Bot23,"OkaMoez",normal,26,Completed,"Kyshperski","Kyshperski: Objective #3","1","23:10:45","23:10:57",
Bot23,"OkaMoez",normal,26,Failed,"Tarbank Upstairs","Tarbank Upstairs: Objective #4","1","23:11:02","23:11:42",
Bot24,"TEOA",normal,2,Failed,"Shooting Cans","Zone Sandbox_2_AGS_exploration","1","23:09:31","23:18:04",
Bot32,"Virtual",normal,9,Failed,"Capital Insight Quest Room Camping","Capital Insight Quest Room Camping: Objective #1","1","23:13:23","23:16:20",
Bot32,"Virtual",normal,9,Completed,"Shooting Cans","Zone Sandbox_2_AGS_exploration","1","23:13:23","23:13:44",
Bot32,"Virtual",normal,9,Failed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","23:14:44","23:16:20",
Bot33,"crustyselenium_",normal,23,Failed,"Shooting Cans","Zone Sandbox_2_AGS_exploration","1","23:13:23","23:21:40",
Bot39,"Жорес Монгол (jonkler)",normal,1,Pending,"Tarbank Upstairs","Tarbank Upstairs: Objective #3","1","23:17:31","N/A",
Bot39,"Жорес Монгол (jonkler)",normal,1,Completed,"Tarbank Upstairs","Tarbank Upstairs: Objective #2","1","23:24:48","23:25:21",
Bot39,"Жорес Монгол (jonkler)",normal,1,Completed,"Tarbank Upstairs","Tarbank Upstairs: Objective #1","1","23:25:26","23:25:57",
Bot39,"Жорес Монгол (jonkler)",normal,1,Pending,"Tarbank Upstairs","Tarbank Upstairs: Objective #4","3","23:26:02","N/A",
Bot43,"Clerance",normal,19,Pending,"TerraGroup Office","TerraGroup Office: Objective #1","1","23:21:31","N/A",
Bot42,"Tyrian",normal,4,Failed,"Underground Utility Room","Underground Utility Room: Objective #1","1","23:21:31","23:23:31",
Bot45,"Петька Корчмарь (PaPaSamBuBu)",normal,1,Failed,"Underground Utility Room","Underground Utility Room: Objective #1","1","23:22:28","23:23:14",
