Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot60,"Big Chungus",normal,6,Completed,"Mira Avenue Benches","Mira Avenue Benches: Objective #1","1","23:31:59","23:32:12",
Bot60,"Big Chungus",normal,6,Completed,"Mira Avenue Benches","Mira Avenue Benches: Objective #2","1","23:32:17","23:32:57",
Bot60,"Big Chungus",normal,6,Completed,"Emercom Checkpoint","Emercom Checkpoint: Objective #2","2","23:33:02","23:42:50",
Bot60,"Big Chungus",normal,6,Completed,"Emercom Checkpoint","Emercom Checkpoint: Objective #1","1","23:42:55","23:43:15",
Bot60,"Big Chungus",normal,6,Failed,"Underground Utility Room","Underground Utility Room: Objective #1","1","23:43:20","23:45:58",
Bot60,"Big Chungus",normal,6,Active,"Olive Restaurant","Olive Restaurant: Objective #1","1","23:46:03","N/A",
Bot55,"Митрофан Спортсмен (Bulld0z3r)",normal,1,Completed,"TerraGroup Office","TerraGroup Office: Objective #2","1","23:31:59","23:32:01",
Bot55,"Митрофан Спортсмен (Bulld0z3r)",normal,1,Completed,"TerraGroup Office","TerraGroup Office: Objective #3","1","23:32:07","23:32:13",
Bot55,"Митрофан Спортсмен (Bulld0z3r)",normal,1,Failed,"TerraGroup Office","TerraGroup Office: Objective #4","1","23:32:18","23:36:07",
Bot59,"craink",normal,10,Failed,"Tarbank Upstairs","Tarbank Upstairs: Objective #1","1","23:31:59","23:34:42",
Bot58,"Basuro",normal,8,Completed,"TerraGroup Office Upstairs","TerraGroup Office Upstairs: Objective #5","1","23:31:59","23:32:02",
Bot58,"Basuro",normal,8,Completed,"TerraGroup Office Upstairs","TerraGroup Office Upstairs: Objective #4","1","23:32:07","23:36:28",
Bot58,"Basuro",normal,8,Failed,"TerraGroup Office Upstairs","TerraGroup Office Upstairs: Objective #6","1","23:36:33","23:39:47",
Bot61,"Leonana69",normal,7,Pending,"Emercom Checkpoint","Emercom Checkpoint: Objective #2","1","23:31:59","N/A",
Bot62,"bitwarrior",normal,13,Completed,"Capital Insight","Capital Insight: Objective #5","5","23:31:59","23:33:42",
Bot62,"bitwarrior",normal,13,Completed,"Capital Insight","Capital Insight: Objective #4","4","23:33:47","23:34:20",
Bot62,"bitwarrior",normal,13,Completed,"Capital Insight","Capital Insight: Objective #1","1","23:34:25","23:34:36",
Bot62,"bitwarrior",normal,13,Completed,"Capital Insight","Capital Insight: Objective #3","1","23:34:41","23:35:20",
Bot62,"bitwarrior",normal,13,Completed,"Capital Insight","Capital Insight: Objective #2","1","23:35:25","23:35:40",
Bot62,"bitwarrior",normal,13,Completed,"Kyshperski","Kyshperski: Objective #4","2","23:35:45","23:36:37",
Bot62,"bitwarrior",normal,13,Completed,"Kyshperski","Kyshperski: Objective #1","1","23:36:42","23:36:50",
Bot62,"bitwarrior",normal,13,Completed,"Kyshperski","Kyshperski: Objective #2","1","23:36:55","23:37:07",
Bot62,"bitwarrior",normal,13,Completed,"Kyshperski","Kyshperski: Objective #3","1","23:37:12","23:37:23",
Bot62,"bitwarrior",normal,13,Failed,"Olive Restaurant","Olive Restaurant: Objective #6","1","23:37:28","23:42:07",
Bot64,"Матвей Подполковник (RaiRaiTheRaichu)",normal,1,Completed,"TerraGroup Office","TerraGroup Office: Objective #1","1","23:34:02","23:34:30",
Bot64,"Матвей Подполковник (RaiRaiTheRaichu)",normal,1,Completed,"TerraGroup Office","TerraGroup Office: Objective #2","1","23:34:35","23:35:02",
Bot64,"Матвей Подполковник (RaiRaiTheRaichu)",normal,1,Completed,"TerraGroup Office","TerraGroup Office: Objective #3","1","23:35:07","23:35:15",
Bot64,"Матвей Подполковник (RaiRaiTheRaichu)",normal,1,Completed,"TerraGroup Office","TerraGroup Office: Objective #4","1","23:35:20","23:40:05",
Bot64,"Матвей Подполковник (RaiRaiTheRaichu)",normal,1,Completed,"TerraGroup Office Camping","TerraGroup Office Camping: Objective #1","2","23:40:10","23:42:15",
Bot64,"Матвей Подполковник (RaiRaiTheRaichu)",normal,1,Failed,"TerraGroup Office Upstairs","TerraGroup Office Upstairs: Objective #9","1","23:42:20","23:42:21",
Bot64,"Матвей Подполковник (RaiRaiTheRaichu)",normal,1,Failed,"TerraGroup Office Upstairs","TerraGroup Office Upstairs: Objective #8","1","23:42:26","23:42:55",
Bot64,"Матвей Подполковник (RaiRaiTheRaichu)",normal,1,Completed,"TerraGroup Office Upstairs","TerraGroup Office Upstairs: Objective #7","1","23:43:00","23:43:33",
Bot64,"Матвей Подполковник (RaiRaiTheRaichu)",normal,1,Pending,"TerraGroup Office Upstairs","TerraGroup Office Upstairs: Objective #6","1","23:43:38","N/A",
Bot70,"Crow",normal,1,Pending,"Capital Insight","Capital Insight: Objective #5","1","23:36:58","N/A",
Bot69,"oroku",normal,27,Completed,"Capital Insight","Capital Insight: Objective #5","5","23:36:58","23:37:57",
