Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot14,"Skeeze",normal,10,Completed,"Search Mission","Zone pr_scout_base","1","13:57:06","13:57:28",
Bot14,"Skeeze",normal,10,Completed,"Search Mission","Zone pr_scout_col","1","13:57:33","13:59:13",
Bot14,"Skeeze",normal,10,Completed,"Convoy","Convoy: Objective #1","1","13:59:18","13:59:25",
Bot14,"Skeeze",normal,10,Completed,"Convoy","Convoy: Objective #2","1","13:59:30","13:59:42",
Bot14,"Skeeze",normal,10,Completed,"Easy Money - Part 1","Item Bison VS Undertaker poster pack.","1","13:59:47","14:03:43",
Bot14,"Skeeze",normal,10,Completed,"USEC Camp South","USEC Camp South: Objective #1","3","14:03:48","14:05:02",
Bot14,"Skeeze",normal,10,Completed,"USEC Camp South","USEC Camp South: Objective #2","1","14:05:07","14:05:15",
Bot14,"Skeeze",normal,10,Active,"USEC Camp South","USEC Camp South: Objective #3","3","14:05:20","N/A",
Bot12,"clmove",normal,12,Completed,"Northern UN Roadblock","Northern UN Roadblock: Objective #1","1","13:57:06","13:57:36",
Bot12,"clmove",normal,12,Completed,"Old Sawmill","Old Sawmill: Objective #1","1","13:57:41","13:58:33",
Bot12,"clmove",normal,12,Completed,"Old Sawmill","Old Sawmill: Objective #3","1","13:58:38","13:59:30",
Bot12,"clmove",normal,12,Completed,"Old Sawmill","Old Sawmill: Objective #4","3","13:59:35","14:00:32",
Bot12,"clmove",normal,12,Completed,"Old Sawmill","Old Sawmill: Objective #2","2","14:00:37","14:01:24",
Bot12,"clmove",normal,12,Completed,"Old Sawmill","Old Sawmill: Objective #5","1","14:01:30","14:01:56",
Bot12,"clmove",normal,12,Completed,"Spine","Spine: Objective #2","1","14:02:02","14:03:41",
Bot12,"clmove",normal,12,Completed,"Spine","Spine: Objective #1","1","14:03:46","14:04:05",
Bot12,"clmove",normal,12,Pending,"Sniper Rock Crates","Sniper Rock Crates: Objective #2","1","14:04:10","N/A",
Bot13,"1nco",normal,3,Pending,"Introduction","Item Encrypted message","1","13:57:06","N/A",
Bot11,"Ratthew",normal,14,Completed,"Spine","Spine: Objective #1","1","13:57:06","13:58:53",
Bot11,"Ratthew",normal,14,Completed,"Spine","Spine: Objective #2","1","13:58:58","13:59:46",
Bot11,"Ratthew",normal,14,Completed,"Sniper Rock Crates","Sniper Rock Crates: Objective #2","1","13:59:51","14:00:29",
Bot11,"Ratthew",normal,14,Completed,"Sniper Rock Crates","Sniper Rock Crates: Objective #3","1","14:00:34","14:00:48",
Bot11,"Ratthew",normal,14,Completed,"Sniper Rock Crates","Sniper Rock Crates: Objective #1","1","14:00:53","14:01:06",
Bot11,"Ratthew",normal,14,Completed,"Old Sawmill","Old Sawmill: Objective #1","1","14:01:11","14:02:50",
Bot11,"Ratthew",normal,14,Completed,"Old Sawmill","Old Sawmill: Objective #3","1","14:02:55","14:03:18",
Bot11,"Ratthew",normal,14,Completed,"Old Sawmill","Old Sawmill: Objective #2","2","14:03:24","14:03:50",
Bot11,"Ratthew",normal,14,Completed,"Old Sawmill","Old Sawmill: Objective #4","3","14:03:56","14:04:45",
Bot11,"Ratthew",normal,14,Completed,"Old Sawmill","Old Sawmill: Objective #5","1","14:04:50","14:05:02",
Bot11,"Ratthew",normal,14,Active,"Scav Town Sniping","Scav Town Sniping: Objective #2","2","14:05:07","N/A",
Bot15,"Echo55",normal,6,Pending,"Search Mission","Zone pr_scout_base","1","13:57:06","N/A",
Bot16,"野猪",normal,5,Completed,"Search Mission","Zone pr_scout_base","1","13:57:06","13:58:46",
Bot16,"野猪",normal,5,Failed,"Search Mission","Zone pr_scout_col","1","13:58:51","13:59:54",
Bot17,"Paulov",normal,11,Failed,"The Survivalist Path - Thrifty","Zone huntsman_005_2","1","13:57:06","14:00:12",
Bot18,"ColonelPeePantz",normal,3,Completed,"Introduction","Item Encrypted message","1","13:57:07","13:57:36",
Bot18,"ColonelPeePantz",normal,3,Completed,"Introduction","Zone huntsman_001","1","13:57:41","13:57:45",
Bot18,"ColonelPeePantz",normal,3,Completed,"The Survivalist Path - Thrifty","Zone huntsman_005_1","2","13:57:50","13:59:59",
Bot18,"ColonelPeePantz",normal,3,Pending,"The Survivalist Path - Thrifty","Zone huntsman_005_2","1","14:00:04","N/A",
Bot18,"ColonelPeePantz",normal,3,Completed,"Scav House","Scav House: Objective #1","1","14:03:57","14:04:33",
Bot18,"ColonelPeePantz",normal,3,Completed,"Weapon Storage Shack","Weapon Storage Shack: Objective #1","1","14:04:38","14:05:17",
Bot18,"ColonelPeePantz",normal,3,Completed,"Sawmill Marked Circle","Sawmill Marked Circle: Objective #1","1","14:05:22","14:06:00",
Bot23,"Тарас Чеснок (SilverParsnip)",normal,1,Failed,"Scav Base","Scav Base: Objective #2","1","14:03:09","14:05:44",
Bot25,"Пётр Якубович (VirtualHex)",normal,1,Completed,"USEC Camp North","USEC Camp North: Objective #1","3","14:04:27","14:05:32",
Bot25,"Пётр Якубович (VirtualHex)",normal,1,Active,"USEC Camp North","USEC Camp North: Objective #2","2","14:05:37","N/A",
