Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot98,"All_Heil_Lord_Pepe",normal,7,Failed,"Sanitary Standards - Part 1","Zone pumproom","1","15:29:12","15:34:04",
Bot101,"Tyrian",normal,6,Failed,"1st Floor Office","1st Floor Office: Objective #2","1","15:29:12","15:31:04",
Bot96,"Моня Малинка (Tyfon)",normal,1,Failed,"Crates Outside of Stairwell","Crates Outside of Stairwell: Objective #1","1","15:29:12","15:32:55",
Bot100,"crustyselenium_",normal,4,Failed,"Crates Near Lower Platform","Crates Near Lower Platform: Objective #1","1","15:29:12","15:29:50",
Bot97,"Kobrakon",normal,6,Failed,"Med Tent","Med Tent: Objective #1","1","15:29:12","15:33:26",
Bot103,"Maksim Petrov",normal,17,Failed,"Crates Outside of Stairwell","Crates Outside of Stairwell: Objective #1","2","15:34:11","15:35:58",
Bot104,"王哈桑ザ",normal,4,Pending,"1st Floor Office","1st Floor Office: Objective #1","1","15:34:11","N/A",
Bot108,"All_Heil_Lord_Pepe",normal,21,Pending,"Pumping Station Roof","Pumping Station Roof: Objective #1","1","15:35:21","N/A",
Bot107,"DevilFlippy",normal,9,Pending,"Timmy's Forklift Hiding Spot","Timmy's Forklift Hiding Spot: Objective #1","1","15:35:21","N/A",
Bot107,"DevilFlippy",normal,9,Active,"Silos","Silos: Objective #1","1","15:35:21","N/A",
Bot109,"Колян Вольфенштейн (defonotmaple)",normal,1,Completed,"Bathroom Key Spawns","Bathroom Key Spawns: Objective #1","1","15:37:14","15:37:17",
Bot109,"Колян Вольфенштейн (defonotmaple)",normal,1,Completed,"Bathroom Key Spawns","Bathroom Key Spawns: Objective #2","1","15:37:22","15:38:01",
Bot109,"Колян Вольфенштейн (defonotmaple)",normal,1,Completed,"1st Floor Office","1st Floor Office: Objective #2","1","15:38:06","15:38:21",
Bot109,"Колян Вольфенштейн (defonotmaple)",normal,1,Pending,"1st Floor Office","1st Floor Office: Objective #1","2","15:38:26","N/A",
Bot111,"Павел Мавр (Archy)",normal,1,Completed,"Holding Area Patrol","Holding Area Patrol: Objective #1","1","15:38:15","15:38:36",
Bot111,"Павел Мавр (Archy)",normal,1,Completed,"Crates Near Lower Platform","Crates Near Lower Platform: Objective #1","2","15:38:41","15:39:17",
Bot111,"Павел Мавр (Archy)",normal,1,Pending,"Bathroom Key Spawns","Bathroom Key Spawns: Objective #1","1","15:39:22","N/A",
Bot112,"Choccy",normal,9,Active,"Crates Outside of Gate 3","Crates Outside of Gate 3: Objective #1","1","15:39:13","N/A",
Bot113,"Bnuy",normal,11,Pending,"Pumping Station Roof","Pumping Station Roof: Objective #1","1","15:39:13","N/A",
